,pick_no,avg_ws,total_ws to date,years played,year drafted
Kenyon Martin,1,3.23,48.4,15,2000
Stromile Swift,2,2.38,21.4,9,2000
Darius Miles,3,1.36,9.5,7,2000
Marcus Fizer,4,0.45,2.7,6,2000
Mike Miller,5,3.57,60.7,17,2000
DerMarr Johnson,6,0.91,6.4,7,2000
Chris Mihm,7,1.69,13.5,8,2000
Jamal Crawford,8,3.04,60.8,20,2000
Joel Przybilla,9,1.78,23.1,13,2000
Keyon Dooling,10,1.42,18.5,13,2000
Jérôme Moïso,11,0.42,2.1,5,2000
Etan Thomas,12,1.63,14.7,9,2000
Courtney Alexander,13,1.37,4.1,3,2000
Mateen Cleaves,14,-0.13,-0.8,6,2000
Kwame Brown,1,1.72,20.7,12,2001
Tyson Chandler,2,5.38,102.2,19,2001
Pau Gasol,3,7.99,143.9,18,2001
Eddy Curry,4,1.98,21.8,11,2001
Jason Richardson,5,4.55,59.1,13,2001
Shane Battier,6,5.82,75.7,13,2001
Eddie Griffin,7,2.16,10.8,5,2001
DeSagana Diop,8,1.07,12.8,12,2001
Rodney White,9,0.42,1.7,4,2001
Joe Johnson,10,4.88,83.0,17,2001
Kedrick Brown,11,0.75,3.0,4,2001
Vladimir Radmanović,12,2.21,26.5,12,2001
Richard Jefferson,13,4.89,83.2,17,2001
Troy Murphy,14,4.18,50.2,12,2001
Yao Ming,1,8.25,66.0,8,2002
Jay Williams,2,0.8,0.8,1,2002
Mike Dunleavy,3,3.9,58.5,15,2002
Drew Gooden,4,3.14,44.0,14,2002
Nikoloz Tskitishvili,5,-0.4,-1.6,4,2002
Dajuan Wagner,6,-0.0,-0.0,4,2002
Nenê,7,4.31,73.2,17,2002
Chris Wilcox,8,2.44,26.8,11,2002
Amar'e Stoudemire,9,6.61,92.5,14,2002
Caron Butler,10,3.64,50.9,14,2002
Jared Jeffries,11,1.21,13.3,11,2002
Melvin Ely,12,0.42,3.8,9,2002
Marcus Haislip,13,0.12,0.5,4,2002
Fred Jones,14,2.34,16.4,7,2002
LeBron James,1,13.46,242.2,18,2003
Darko Miličić,2,0.7,7.0,10,2003
Carmelo Anthony,3,5.83,105.0,18,2003
Chris Bosh,4,8.15,106.0,13,2003
Dwyane Wade,5,7.54,120.7,16,2003
Chris Kaman,6,1.9,24.7,13,2003
Kirk Hinrich,7,4.04,52.5,13,2003
T.J. Ford,8,2.11,16.9,8,2003
Mike Sweetney,9,1.92,7.7,4,2003
Jarvis Hayes,10,1.46,10.2,7,2003
Mickaël Piétrus,11,1.97,19.7,10,2003
